timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
1070832613,inf,1,0,0,0,0
1071843588,inf,1,0,0,0,0
1072861605,inf,1,0,0,0,0
1073876615,inf,1,0,0,0,0
1074888564,inf,1,0,0,0,0
1075900558,inf,1,0,0,0,0
1076914525,inf,1,0,0,0,0
1077931589,inf,1,0,0,0,0
1078946514,inf,1,0,0,0,0
1079965574,inf,1,0,0,0,0
1080968558,inf,1,0,0,0,0
1081970514,inf,1,0,0,0,0
1082987624,inf,1,0,0,0,0
1084003386,inf,1,0,0,0,0
1085016560,inf,1,0,0,0,0
1086029605,inf,1,0,0,0,0
1087045592,inf,1,0,0,0,0
1088063051,inf,1,0,0,0,0
1089066618,inf,1,0,0,0,0
1090087574,inf,1,0,0,0,0
1091098509,inf,1,0,0,0,0
1092115633,inf,1,0,0,0,0
1093127568,inf,1,0,0,0,0
1094128761,inf,1,0,0,0,0
1095145592,inf,1,0,0,0,0
1096156563,inf,1,0,0,0,0
1097173678,inf,1,0,0,0,0
1098189655,inf,1,0,0,0,0
1099189986,inf,1,0,0,0,0
1100201588,inf,1,0,0,0,0
1101221593,inf,1,0,0,0,0
1102228178,inf,1,0,0,0,0
1103244551,inf,1,0,0,0,0
1104255575,inf,1,0,0,0,0
1105263575,inf,1,0,0,0,0
1106279576,inf,1,0,0,0,0
1107279939,inf,1,0,0,0,0
1108299245,inf,1,0,0,0,0
1109309844,inf,1,0,0,0,0
1110319585,inf,1,0,0,0,0
1111335578,inf,1,0,0,0,0
1112335625,inf,1,0,0,0,0
1113352567,inf,1,0,0,0,0
1114352642,inf,1,0,0,0,0
1115368552,inf,1,0,0,0,0
1116379573,inf,1,0,0,0,0
1117399573,inf,1,0,0,0,0
1118417607,inf,1,0,0,0,0
1119436648,inf,1,0,0,0,0
1120449567,inf,1,0,0,0,0
1121466726,inf,1,0,0,0,0
1122478508,inf,1,0,0,0,0
1123497571,inf,1,0,0,0,0
1124515576,inf,1,0,0,0,0
1125529593,inf,1,0,0,0,0
1126530509,inf,1,0,0,0,0
1127548826,inf,1,0,0,0,0
1128566504,inf,1,0,0,0,0
1129579586,inf,1,0,0,0,0
1130595301,inf,1,0,0,0,0
1131612561,inf,1,0,0,0,0
1132619633,inf,1,0,0,0,0
1133636991,inf,1,0,0,0,0
1134653593,inf,1,0,0,0,0
1135669757,inf,1,0,0,0,0
1136670509,inf,1,0,0,0,0
1137681595,inf,1,0,0,0,0
1138683798,inf,1,0,0,0,0
1139699627,inf,1,0,0,0,0
1140718602,inf,1,0,0,0,0
1141733576,inf,1,0,0,0,0
1142752619,inf,1,0,0,0,0
1143768566,inf,1,0,0,0,0
1144785754,inf,1,0,0,0,0
1145802511,inf,1,0,0,0,0
1146817599,inf,1,0,0,0,0
1147827578,inf,1,0,0,0,0
1148847591,inf,1,0,0,0,0
1149861590,inf,1,0,0,0,0
1150875060,inf,1,0,0,0,0
1151888566,inf,1,0,0,0,0
1152902748,inf,1,0,0,0,0
1153917040,inf,1,0,0,0,0
1154932609,inf,1,0,0,0,0
1155949609,inf,1,0,0,0,0
1156960625,inf,1,0,0,0,0
1157975575,inf,1,0,0,0,0
1158994234,inf,1,0,0,0,0
1160014511,inf,1,0,0,0,0
1161026748,inf,1,0,0,0,0
1162042519,inf,1,0,0,0,0
1163057590,inf,1,0,0,0,0
1164070514,inf,1,0,0,0,0
1165086036,inf,1,0,0,0,0
1166100563,inf,1,0,0,0,0
1167101575,inf,1,0,0,0,0
1168118512,inf,1,0,0,0,0
1169135633,inf,1,0,0,0,0
1170153583,inf,1,0,0,0,0
1171169608,inf,1,0,0,0,0
1172185592,inf,1,0,0,0,0
1173201588,inf,1,0,0,0,0
1174202511,inf,1,0,0,0,0
1175222564,inf,1,0,0,0,0
1176238512,inf,1,0,0,0,0
1177253363,inf,1,0,0,0,0
1178265596,inf,1,0,0,0,0
1179284967,inf,1,0,0,0,0
1180298515,inf,1,0,0,0,0
1181314511,inf,1,0,0,0,0
1182329597,inf,1,0,0,0,0
1183346517,inf,1,0,0,0,0
1184359573,inf,1,0,0,0,0
1185376571,inf,1,0,0,0,0
1186377607,inf,1,0,0,0,0
1187388618,inf,1,0,0,0,0
1188406132,inf,1,0,0,0,0
1189424559,inf,1,0,0,0,0
1190425408,inf,1,0,0,0,0
1191436366,inf,1,0,0,0,0
1192452559,inf,1,0,0,0,0
1193453750,inf,1,0,0,0,0
1194467595,inf,1,0,0,0,0
1195481583,inf,1,0,0,0,0
1196493735,inf,1,0,0,0,0
1197509597,inf,1,0,0,0,0
1198525568,inf,1,0,0,0,0
1199539581,inf,1,0,0,0,0
1200554513,inf,1,0,0,0,0
1201573567,inf,1,0,0,0,0
1202589850,inf,1,0,0,0,0
1203604574,inf,1,0,0,0,0
1204619570,inf,1,0,0,0,0
1205619576,inf,1,0,0,0,0
1206633866,inf,1,0,0,0,0
1207652622,inf,1,0,0,0,0
1208664559,inf,1,0,0,0,0
1209676576,inf,1,0,0,0,0
1210693602,inf,1,0,0,0,0
1211707569,inf,1,0,0,0,0
1212723570,inf,1,0,0,0,0
1213739592,inf,1,0,0,0,0
1214751584,inf,1,0,0,0,0
1215765597,inf,1,0,0,0,0
1216782522,inf,1,0,0,0,0
1217783852,inf,1,0,0,0,0
1218800559,inf,1,0,0,0,0
1219814508,inf,1,0,0,0,0
1220824786,inf,1,0,0,0,0
1221840034,inf,1,0,0,0,0
1222852623,inf,1,0,0,0,0
1223866510,inf,1,0,0,0,0
1224869589,inf,1,0,0,0,0
1225872560,inf,1,0,0,0,0
1226889647,inf,1,0,0,0,0
1227902510,inf,1,0,0,0,0
1228920656,inf,1,0,0,0,0
1229941329,inf,1,0,0,0,0
1230951873,inf,1,0,0,0,0
1231963583,inf,1,0,0,0,0
1232980640,inf,1,0,0,0,0
1233992564,inf,1,0,0,0,0
1235005312,inf,1,0,0,0,0
1236025731,inf,1,0,0,0,0
1237040831,inf,1,0,0,0,0
1238041602,inf,1,0,0,0,0
1239043434,inf,1,0,0,0,0
1240059575,inf,1,0,0,0,0
1241068655,inf,1,0,0,0,0
1242073592,inf,1,0,0,0,0
1243091575,inf,1,0,0,0,0
1244092961,inf,1,0,0,0,0
1245109861,inf,1,0,0,0,0
1246127588,inf,1,0,0,0,0
1247144566,inf,1,0,0,0,0
1248165611,inf,1,0,0,0,0
1249183578,inf,1,0,0,0,0
1250200554,inf,1,0,0,0,0
1251212572,inf,1,0,0,0,0
1252231568,inf,1,0,0,0,0
1253248794,inf,1,0,0,0,0
1254262516,inf,1,0,0,0,0
1255275954,inf,1,0,0,0,0
1256290038,inf,1,0,0,0,0
1257306510,inf,1,0,0,0,0
1258322511,inf,1,0,0,0,0
1259340968,inf,1,0,0,0,0
1260360558,inf,1,0,0,0,0
1261380184,inf,1,0,0,0,0
1262395309,inf,1,0,0,0,0
1263395628,inf,1,0,0,0,0
1264416553,inf,1,0,0,0,0
1265432566,inf,1,0,0,0,0
1266450517,inf,1,0,0,0,0
1267461577,inf,1,0,0,0,0
1268476022,inf,1,0,0,0,0
1269490515,inf,1,0,0,0,0
1270506508,inf,1,0,0,0,0
1271526509,inf,1,0,0,0,0
1272536566,inf,1,0,0,0,0
1273551751,inf,1,0,0,0,0
1274569569,inf,1,0,0,0,0
1275580562,inf,1,0,0,0,0
1276593854,inf,1,0,0,0,0
1277604563,inf,1,0,0,0,0
1278623587,inf,1,0,0,0,0
1279636991,inf,1,0,0,0,0
1280649597,inf,1,0,0,0,0
1281661669,inf,1,0,0,0,0
1282676968,inf,1,0,0,0,0
1283688581,inf,1,0,0,0,0
1284706522,inf,1,0,0,0,0
1285724966,inf,1,0,0,0,0
1286744558,inf,1,0,0,0,0
1287757982,inf,1,0,0,0,0
1288778511,inf,1,0,0,0,0
1289792563,inf,1,0,0,0,0
1290808559,inf,1,0,0,0,0
1291827366,inf,1,0,0,0,0
1292846788,inf,1,0,0,0,0
1293861793,inf,1,0,0,0,0
1294870515,inf,1,0,0,0,0
1295882529,inf,1,0,0,0,0
1296893646,inf,1,0,0,0,0
1297913599,inf,1,0,0,0,0
1298933853,inf,1,0,0,0,0
1299949567,inf,1,0,0,0,0
